code_module,code_presentation,id_student,total_days_studied
AAA,2013J,258392,22
AAA,2013J,258894,84
AAA,2013J,260355,25
AAA,2013J,262011,28
AAA,2013J,262934,51
AAA,2013J,268073,43
AAA,2013J,268733,7
AAA,2013J,271251,55
AAA,2013J,277880,46
AAA,2013J,279572,22
AAA,2013J,281022,25
AAA,2013J,281250,9
AAA,2013J,281589,7
AAA,2013J,282821,42
AAA,2013J,286488,21
AAA,2013J,287548,23
AAA,2013J,290201,44
AAA,2013J,290757,12
AAA,2013J,291334,83
AAA,2013J,293699,7
AAA,2013J,294570,44
AAA,2013J,294594,36
AAA,2013J,295741,42
AAA,2013J,296332,53
AAA,2013J,298696,30
AAA,2013J,300398,46
AAA,2013J,302302,16
AAA,2013J,305152,9
AAA,2013J,305386,43
AAA,2013J,305539,6
AAA,2013J,306107,37
AAA,2013J,306466,47
AAA,2013J,306897,91
AAA,2013J,307061,36
AAA,2013J,307866,36
AAA,2013J,311917,56
AAA,2013J,312537,101
AAA,2013J,312782,21
AAA,2013J,318933,60
AAA,2013J,319047,73
AAA,2013J,321942,90
AAA,2013J,324002,53
AAA,2013J,324084,42
AAA,2013J,324282,16
AAA,2013J,331358,45
AAA,2013J,332789,26
AAA,2013J,333059,11
AAA,2013J,333323,13
AAA,2013J,334259,19
AAA,2013J,334333,33
AAA,2013J,335764,68
AAA,2013J,336207,47
AAA,2013J,339972,13
AAA,2013J,341872,12
AAA,2013J,342007,38
AAA,2013J,342514,44
AAA,2013J,342972,34
AAA,2013J,343446,66
AAA,2013J,344282,10
AAA,2013J,345068,12
AAA,2013J,345357,55
AAA,2013J,346025,44
AAA,2013J,346843,8
AAA,2013J,350188,31
AAA,2013J,354858,7
AAA,2013J,357668,16
AAA,2013J,364177,31
AAA,2013J,365244,33
AAA,2013J,365642,59
AAA,2013J,366483,53
AAA,2013J,368194,13
AAA,2013J,368824,7
AAA,2013J,368963,31
AAA,2013J,376439,61
AAA,2013J,376581,32
AAA,2013J,380953,43
AAA,2013J,383254,46
AAA,2013J,386924,17
AAA,2013J,386952,47
AAA,2013J,388722,28
AAA,2013J,388885,26
AAA,2013J,390890,32
AAA,2013J,392756,20
AAA,2013J,392931,44
AAA,2013J,393207,20
AAA,2013J,396872,22
AAA,2013J,398552,38
AAA,2013J,401869,43
AAA,2013J,402470,50
AAA,2013J,404804,18
AAA,2013J,405088,36
AAA,2013J,414117,45
AAA,2013J,415969,36
AAA,2013J,420087,12
AAA,2013J,429958,10
AAA,2013J,441018,20
AAA,2013J,441888,13
AAA,2013J,442442,38
AAA,2013J,444677,60
AAA,2013J,470588,16
AAA,2013J,489455,44
AAA,2013J,494424,2
AAA,2013J,495284,37
AAA,2013J,498857,53
AAA,2013J,508818,30
AAA,2013J,512460,35
AAA,2013J,544103,61
AAA,2013J,550383,36
AAA,2013J,564450,5
AAA,2013J,568601,12
AAA,2013J,572652,20
AAA,2013J,580389,26
AAA,2013J,581129,7
AAA,2013J,588775,89
AAA,2013J,591774,20
AAA,2013J,603861,33
AAA,2013J,606143,31
AAA,2013J,704156,59
AAA,2013J,705379,74
AAA,2013J,721259,27
AAA,2013J,749412,78
AAA,2013J,760729,86
AAA,2013J,905042,61
AAA,2013J,949618,39
AAA,2013J,958987,40
AAA,2013J,968578,21
AAA,2013J,969076,91
AAA,2013J,971027,69
AAA,2013J,978739,77
AAA,2013J,1035023,63
AAA,2013J,1105478,60
AAA,2013J,1352868,25
AAA,2013J,1401935,21
AAA,2013J,1402638,37
AAA,2013J,1414443,24
AAA,2013J,1456619,22
AAA,2013J,1465690,61
AAA,2013J,1472925,16
AAA,2013J,1488959,67
AAA,2013J,1518989,50
AAA,2013J,1618738,11
AAA,2013J,1620151,30
AAA,2013J,1626710,87
AAA,2013J,1640609,96
AAA,2013J,1686521,29
AAA,2013J,1729319,35
AAA,2013J,1746134,31
AAA,2013J,1758449,65
AAA,2013J,1763015,3
AAA,2013J,1765788,83
AAA,2013J,1801229,32
AAA,2013J,1801641,25
AAA,2013J,1847830,76
AAA,2013J,1860318,68
AAA,2013J,1889511,38
AAA,2013J,1889577,25
AAA,2013J,1894188,56
AAA,2013J,1938355,56
AAA,2013J,1942396,22
AAA,2013J,1970390,87
AAA,2013J,1976139,26
AAA,2013J,2011876,25
AAA,2013J,2012966,15
AAA,2013J,2051699,47
AAA,2013J,2062879,62
AAA,2013J,2065691,29
AAA,2013J,2073016,47
AAA,2013J,2080474,29
AAA,2013J,2083877,34
AAA,2013J,2084066,55
AAA,2013J,2104505,29
AAA,2013J,2122180,67
AAA,2013J,2139353,45
AAA,2013J,2143752,38
AAA,2013J,2146792,81
AAA,2013J,2149225,8
AAA,2013J,2153153,38
AAA,2013J,2155014,29
AAA,2013J,2164705,11
AAA,2013J,2171627,30
AAA,2013J,2182846,65
AAA,2013J,2194100,32
AAA,2013J,2197016,34
AAA,2013J,2208424,36
AAA,2013J,2229865,57
AAA,2013J,2255601,58
AAA,2013J,2268379,50
AAA,2013J,2278464,17
AAA,2013J,2293923,13
AAA,2013J,2312620,23
AAA,2013J,2329342,18
AAA,2013J,2339528,9
AAA,2013J,2342426,47
AAA,2013J,2344901,13
AAA,2013J,2358056,46
AAA,2013J,2358969,22
AAA,2013J,2364471,98
AAA,2013J,2367155,29
AAA,2013J,2369266,31
AAA,2013J,2376496,48
AAA,2013J,2391984,26
AAA,2013J,2411661,13
AAA,2013J,2411778,37
AAA,2013J,2412002,91
AAA,2013J,2412967,53
AAA,2013J,2429854,28
AAA,2013J,2437837,39
AAA,2013J,2449878,14
AAA,2013J,2456480,13
AAA,2013J,2457256,48
AAA,2013J,2458355,88
AAA,2013J,2460080,71
AAA,2013J,2461190,43
AAA,2013J,2469673,12
AAA,2013J,2470694,66
AAA,2013J,2479954,20
AAA,2013J,2481901,58
AAA,2013J,2482700,58
AAA,2013J,2486127,33
AAA,2013J,2498700,46
AAA,2013J,2516503,74
AAA,2013J,2518069,47
AAA,2013J,2521459,31
AAA,2013J,2523736,43
AAA,2013J,2529279,33
AAA,2013J,2532302,20
AAA,2013J,2536991,41
AAA,2013J,2542724,9
AAA,2013J,2550279,65
AAA,2013J,2551220,44
AAA,2013J,2552472,10
AAA,2013J,2555340,68
AAA,2013J,2557283,94
AAA,2013J,2559575,37
AAA,2013J,2562034,4
AAA,2013J,2566163,29
AAA,2013J,2566592,33
AAA,2013J,2569324,3
AAA,2013J,2574528,30
AAA,2013J,2574583,61
AAA,2013J,2576122,14
AAA,2013J,2578995,57
AAA,2013J,2586560,50
AAA,2013J,2594139,31
AAA,2013J,2598871,49
AAA,2013J,2599352,23
AAA,2013J,2600688,14
AAA,2013J,2606098,20
AAA,2013J,2613116,32
AAA,2013J,2617002,30
AAA,2013J,2620584,5
AAA,2013J,2639449,23
AAA,2013J,2639540,55
AAA,2013J,2639641,57
AAA,2013J,2641155,92
AAA,2013J,2643002,46
AAA,2013J,2645733,41
AAA,2013J,2649826,72
AAA,2013J,2650282,26
AAA,2013J,2664024,28
AAA,2013J,2666246,17
AAA,2013J,2669816,10
AAA,2013J,2671132,47
AAA,2013J,2676809,18
AAA,2013J,2678643,46
AAA,2013J,2685865,69
AAA,2013J,2688067,6
AAA,2013J,2689958,93
AAA,2013J,2691206,71
AAA,2013J,2691244,27
AAA,2013J,2694424,63
AAA,2013J,2698257,33
AAA,2014J,6516,64
AAA,2014J,24734,21
AAA,2014J,26192,52
AAA,2014J,28061,67
AAA,2014J,31600,9
AAA,2014J,46844,17
AAA,2014J,52765,102
AAA,2014J,55104,32
AAA,2014J,58071,76
AAA,2014J,58316,59
AAA,2014J,62487,28
AAA,2014J,63165,40
AAA,2014J,65002,1
AAA,2014J,70011,86
AAA,2014J,75255,33
AAA,2014J,79403,43
AAA,2014J,85092,11
AAA,2014J,85144,30
AAA,2014J,85302,50
AAA,2014J,87431,15
AAA,2014J,94961,25
AAA,2014J,95755,39
AAA,2014J,101116,50
AAA,2014J,107489,77
AAA,2014J,108872,38
AAA,2014J,109155,62
AAA,2014J,111512,21
AAA,2014J,117818,37
AAA,2014J,119902,54
AAA,2014J,121349,35
AAA,2014J,124064,63
AAA,2014J,125018,48
AAA,2014J,129955,46
AAA,2014J,130034,43
AAA,2014J,130547,39
AAA,2014J,130636,8
AAA,2014J,131390,5
AAA,2014J,133816,48
AAA,2014J,133922,27
AAA,2014J,135335,5
AAA,2014J,135400,7
AAA,2014J,135471,63
AAA,2014J,139033,17
AAA,2014J,141377,15
AAA,2014J,141506,23
AAA,2014J,146503,30
AAA,2014J,147756,32
AAA,2014J,148993,44
AAA,2014J,149741,46
AAA,2014J,149962,9
AAA,2014J,151587,19
AAA,2014J,152668,33
AAA,2014J,155984,31
AAA,2014J,158707,60
AAA,2014J,159954,20
AAA,2014J,164944,34
AAA,2014J,165226,29
AAA,2014J,167961,57
AAA,2014J,174024,19
AAA,2014J,174094,93
AAA,2014J,174745,20
AAA,2014J,175447,71
AAA,2014J,175772,72
AAA,2014J,183057,34
AAA,2014J,185350,15
AAA,2014J,188278,74
AAA,2014J,199636,44
AAA,2014J,199897,43
AAA,2014J,200804,22
AAA,2014J,205494,25
AAA,2014J,228021,80
AAA,2014J,228383,35
AAA,2014J,232307,16
AAA,2014J,235068,59
AAA,2014J,235507,53
AAA,2014J,236875,25
AAA,2014J,237274,61
AAA,2014J,243510,13
AAA,2014J,244246,35
AAA,2014J,248581,65
AAA,2014J,252073,26
AAA,2014J,254625,42
AAA,2014J,258587,87
AAA,2014J,260623,36
AAA,2014J,263251,51
AAA,2014J,263543,61
AAA,2014J,263952,38
AAA,2014J,266524,26
AAA,2014J,268733,1
AAA,2014J,273346,54
AAA,2014J,274947,17
AAA,2014J,275674,90
AAA,2014J,275792,29
AAA,2014J,277123,21
AAA,2014J,277880,3
AAA,2014J,281077,32
AAA,2014J,281636,66
AAA,2014J,285315,26
AAA,2014J,287040,46
AAA,2014J,287204,43
AAA,2014J,287210,94
AAA,2014J,288994,4
AAA,2014J,289449,49
AAA,2014J,290164,59
AAA,2014J,292525,11
AAA,2014J,292775,54
AAA,2014J,293824,106
AAA,2014J,294496,53
AAA,2014J,294655,55
AAA,2014J,295060,52
AAA,2014J,295075,16
AAA,2014J,296424,78
AAA,2014J,298034,36
AAA,2014J,298838,48
AAA,2014J,301967,12
AAA,2014J,302476,51
AAA,2014J,303521,65
AAA,2014J,303985,10
AAA,2014J,304465,72
AAA,2014J,306646,6
AAA,2014J,309142,15
AAA,2014J,310412,47
AAA,2014J,311235,22
AAA,2014J,311659,6
AAA,2014J,313937,89
AAA,2014J,315076,43
AAA,2014J,315744,78
AAA,2014J,323370,54
AAA,2014J,328024,68
AAA,2014J,329659,19
AAA,2014J,330594,57
AAA,2014J,331358,36
AAA,2014J,332884,54
AAA,2014J,334441,21
AAA,2014J,335247,22
AAA,2014J,335764,41
AAA,2014J,337748,6
AAA,2014J,338407,11
AAA,2014J,341876,72
AAA,2014J,342007,53
AAA,2014J,345440,11
AAA,2014J,345519,30
AAA,2014J,346118,22
AAA,2014J,348275,36
AAA,2014J,348807,19
AAA,2014J,350156,18
AAA,2014J,350939,47
AAA,2014J,351336,57
AAA,2014J,353665,16
AAA,2014J,354170,38
AAA,2014J,356170,11
AAA,2014J,358182,55
AAA,2014J,364957,56
AAA,2014J,369834,60
AAA,2014J,371710,71
AAA,2014J,373872,24
AAA,2014J,375260,62
AAA,2014J,375646,17
AAA,2014J,377546,43
AAA,2014J,381642,47
AAA,2014J,382095,54
AAA,2014J,383180,36
AAA,2014J,383600,11
AAA,2014J,383723,94
AAA,2014J,384203,91
AAA,2014J,384725,75
AAA,2014J,387533,30
AAA,2014J,387954,14
AAA,2014J,388147,25
AAA,2014J,390890,21
AAA,2014J,391249,84
AAA,2014J,396599,44
AAA,2014J,396655,22
AAA,2014J,398171,54
AAA,2014J,398349,53
AAA,2014J,400147,14
AAA,2014J,400682,27
AAA,2014J,401404,45
AAA,2014J,402204,32
AAA,2014J,402727,24
AAA,2014J,402961,62
AAA,2014J,404356,43
AAA,2014J,406671,12
AAA,2014J,406682,48
AAA,2014J,409100,59
AAA,2014J,409703,62
AAA,2014J,410092,9
AAA,2014J,411971,33
AAA,2014J,415969,5
AAA,2014J,418731,5
AAA,2014J,421455,48
AAA,2014J,424577,59
AAA,2014J,429858,8
AAA,2014J,431025,12
AAA,2014J,439305,24
AAA,2014J,440319,29
AAA,2014J,442064,10
AAA,2014J,442132,13
AAA,2014J,446108,35
AAA,2014J,447481,11
AAA,2014J,468120,15
AAA,2014J,468694,19
AAA,2014J,470588,8
AAA,2014J,470982,36
AAA,2014J,476603,38
AAA,2014J,481022,8
AAA,2014J,483800,44
AAA,2014J,484897,30
AAA,2014J,485962,41
AAA,2014J,488990,27
AAA,2014J,500113,12
AAA,2014J,503889,68
AAA,2014J,514526,3
AAA,2014J,518808,27
AAA,2014J,522482,16
AAA,2014J,527100,29
AAA,2014J,527801,31
AAA,2014J,533068,9
AAA,2014J,537081,27
AAA,2014J,544253,71
AAA,2014J,548120,29
AAA,2014J,561467,19
AAA,2014J,569505,60
AAA,2014J,570317,22
AAA,2014J,574505,27
AAA,2014J,588477,96
AAA,2014J,593846,26
AAA,2014J,593987,33
AAA,2014J,596288,8
AAA,2014J,598070,1
AAA,2014J,603834,14
AAA,2014J,603861,17
AAA,2014J,608440,6
AAA,2014J,623840,33
AAA,2014J,626240,25
AAA,2014J,628088,22
AAA,2014J,628312,2
AAA,2014J,630142,22
AAA,2014J,637665,53
AAA,2014J,639053,20
AAA,2014J,642878,29
AAA,2014J,648130,31
AAA,2014J,676546,19
AAA,2014J,677186,14
AAA,2014J,677281,17
AAA,2014J,684180,8
AAA,2014J,687698,11
AAA,2014J,696073,51
AAA,2014J,696578,26
AAA,2014J,721259,74
AAA,2014J,852847,15
AAA,2014J,998493,105
AAA,2014J,1045203,80
AAA,2014J,1112555,55
AAA,2014J,1183831,66
AAA,2014J,1268696,14
AAA,2014J,1336190,33
AAA,2014J,1352868,33
AAA,2014J,1398979,101
AAA,2014J,1456619,34
AAA,2014J,1471214,13
AAA,2014J,1472925,16
AAA,2014J,1484804,55
AAA,2014J,1511033,15
AAA,2014J,1576513,113
AAA,2014J,1609002,45
AAA,2014J,1629771,30
AAA,2014J,1676594,7
AAA,2014J,1686551,53
AAA,2014J,1689639,75
AAA,2014J,1715896,98
AAA,2014J,1721270,27
AAA,2014J,1757766,60
AAA,2014J,1773377,28
AAA,2014J,1799111,40
AAA,2014J,1818673,27
AAA,2014J,1839386,15
AAA,2014J,1926668,39
AAA,2014J,1947156,40
AAA,2014J,1967783,42
AAA,2014J,1970390,63
AAA,2014J,1975209,67
AAA,2014J,2010232,72
AAA,2014J,2045084,17
AAA,2014J,2057803,77
AAA,2014J,2073016,2
AAA,2014J,2085209,100
AAA,2014J,2086400,90
AAA,2014J,2139353,12
AAA,2014J,2148681,42
AAA,2014J,2158048,22
AAA,2014J,2158196,21
AAA,2014J,2165164,48
AAA,2014J,2168833,3
AAA,2014J,2207874,8
AAA,2014J,2240349,61
AAA,2014J,2244332,113
AAA,2014J,2273119,6
AAA,2014J,2277857,83
AAA,2014J,2297896,19
AAA,2014J,2313257,2
AAA,2014J,2318055,30
AAA,2014J,2330254,75
AAA,2014J,2355470,18
AAA,2014J,2358969,31
AAA,2014J,2363863,57
AAA,2014J,2369415,26
AAA,2014J,2375975,72
AAA,2014J,2397661,8
AAA,2014J,2398313,78
AAA,2014J,2404408,44
AAA,2014J,2425993,18
AAA,2014J,2429854,18
AAA,2014J,2432796,24
AAA,2014J,2434159,14
AAA,2014J,2436812,23
AAA,2014J,2467267,14
AAA,2014J,2470694,31
AAA,2014J,2473538,24
AAA,2014J,2474849,5
AAA,2014J,2494700,80
AAA,2014J,2500258,32
AAA,2014J,2507842,35
AAA,2014J,2509639,37
AAA,2014J,2514368,23
AAA,2014J,2514898,35
AAA,2014J,2521865,54
AAA,2014J,2522927,88
AAA,2014J,2540168,34
AAA,2014J,2546445,63
AAA,2014J,2551797,26
AAA,2014J,2551932,28
AAA,2014J,2569324,18
AAA,2014J,2574990,43
AAA,2014J,2576122,3
AAA,2014J,2578676,42
AAA,2014J,2581477,97
AAA,2014J,2584873,33
AAA,2014J,2595841,36
AAA,2014J,2596621,105
AAA,2014J,2601889,73
AAA,2014J,2602338,34
AAA,2014J,2606802,11
AAA,2014J,2624961,14
AAA,2014J,2630087,7
AAA,2014J,2633226,22
AAA,2014J,2642616,49
AAA,2014J,2642935,86
AAA,2014J,2648611,65
AAA,2014J,2649800,31
AAA,2014J,2654628,40
AAA,2014J,2677624,24
AAA,2014J,2680312,58
AAA,2014J,2688166,33
AAA,2014J,2690062,12
AAA,2014J,2692514,113
AAA,2014J,2694788,15
BBB,2013B,23629,16
BBB,2013B,25107,47
BBB,2013B,27891,19
BBB,2013B,29144,54
BBB,2013B,31663,97
BBB,2013B,33666,53
BBB,2013B,34229,27
BBB,2013B,34353,23
BBB,2013B,34431,12
BBB,2013B,34756,11
BBB,2013B,34863,11
BBB,2013B,35812,3
BBB,2013B,39655,14
BBB,2013B,50993,17
BBB,2013B,52899,23
BBB,2013B,58089,5
BBB,2013B,62631,23
BBB,2013B,70608,15
BBB,2013B,71433,8
BBB,2013B,74695,58
BBB,2013B,74734,19
BBB,2013B,75399,14
BBB,2013B,78645,36
BBB,2013B,82535,27
BBB,2013B,82741,22
BBB,2013B,83254,24
BBB,2013B,84245,39
BBB,2013B,84664,24
BBB,2013B,86291,3
BBB,2013B,87732,51
BBB,2013B,91322,23
BBB,2013B,92274,24
BBB,2013B,92832,43
BBB,2013B,92947,57
BBB,2013B,92993,26
BBB,2013B,94616,20
BBB,2013B,96291,4
BBB,2013B,97154,21
BBB,2013B,98313,3
BBB,2013B,102849,1
BBB,2013B,104054,49
BBB,2013B,108377,90
BBB,2013B,108589,25
BBB,2013B,109938,28
BBB,2013B,110881,36
BBB,2013B,116603,47
BBB,2013B,117071,5
BBB,2013B,120994,24
BBB,2013B,123860,42
BBB,2013B,126322,28
BBB,2013B,126411,7
BBB,2013B,128776,8
BBB,2013B,133155,29
BBB,2013B,133748,34
BBB,2013B,141823,25
BBB,2013B,142324,8
BBB,2013B,143741,24
BBB,2013B,145544,39
BBB,2013B,147876,24
BBB,2013B,151697,16
BBB,2013B,152153,16
BBB,2013B,152910,73
BBB,2013B,152929,13
BBB,2013B,153212,36
BBB,2013B,153704,27
BBB,2013B,154027,28
BBB,2013B,154125,4
BBB,2013B,154540,23
BBB,2013B,155735,5
BBB,2013B,156835,48
BBB,2013B,161678,15
BBB,2013B,165243,56
BBB,2013B,169515,13
BBB,2013B,170356,26
BBB,2013B,173316,45
BBB,2013B,173335,26
BBB,2013B,177639,5
BBB,2013B,179605,10
BBB,2013B,182824,12
BBB,2013B,183806,7
BBB,2013B,185349,80
BBB,2013B,186670,17
BBB,2013B,186780,2
BBB,2013B,186988,13
BBB,2013B,187793,53
BBB,2013B,188152,77
BBB,2013B,192424,33
BBB,2013B,193822,52
BBB,2013B,197595,28
BBB,2013B,198956,76
BBB,2013B,199520,54
BBB,2013B,200863,3
BBB,2013B,200905,45
BBB,2013B,203108,11
BBB,2013B,203481,39
BBB,2013B,203652,6
BBB,2013B,204746,29
BBB,2013B,226374,29
BBB,2013B,226827,58
BBB,2013B,228049,1
BBB,2013B,229240,22
BBB,2013B,229426,25
BBB,2013B,232695,33
BBB,2013B,235097,58
BBB,2013B,237304,17
BBB,2013B,237913,61
BBB,2013B,242149,31
BBB,2013B,245404,24
BBB,2013B,247267,28
BBB,2013B,248103,21
BBB,2013B,249534,10
BBB,2013B,251351,30
BBB,2013B,252340,21
BBB,2013B,253250,24
BBB,2013B,255347,38
BBB,2013B,255998,16
BBB,2013B,258402,1
BBB,2013B,262294,27
BBB,2013B,262454,28
BBB,2013B,262741,32
BBB,2013B,263499,89
BBB,2013B,265958,10
BBB,2013B,267761,37
BBB,2013B,267853,2
BBB,2013B,269076,39
BBB,2013B,270399,4
BBB,2013B,270567,43
BBB,2013B,271036,27
BBB,2013B,272580,28
BBB,2013B,273731,38
BBB,2013B,273877,9
BBB,2013B,276717,68
BBB,2013B,277733,32
BBB,2013B,278447,32
BBB,2013B,280962,5
BBB,2013B,281564,70
BBB,2013B,284076,17
BBB,2013B,285633,14
BBB,2013B,285912,45
BBB,2013B,288380,3
BBB,2013B,288990,4
BBB,2013B,290550,21
BBB,2013B,291037,31
BBB,2013B,291194,25
BBB,2013B,292027,17
BBB,2013B,294381,32
BBB,2013B,294961,17
BBB,2013B,294999,6
BBB,2013B,295754,24
BBB,2013B,297484,48
BBB,2013B,298322,16
BBB,2013B,298476,40
BBB,2013B,305945,2
BBB,2013B,306886,12
BBB,2013B,306984,5
BBB,2013B,309175,5
BBB,2013B,309709,38
BBB,2013B,309734,30
BBB,2013B,311042,8
BBB,2013B,312141,9
BBB,2013B,313810,38
BBB,2013B,315186,24
BBB,2013B,316841,76
BBB,2013B,318056,38
BBB,2013B,318101,21
BBB,2013B,319209,41
BBB,2013B,322960,37
BBB,2013B,324236,94
BBB,2013B,325511,21
BBB,2013B,325879,40
BBB,2013B,326012,16
BBB,2013B,329226,18
BBB,2013B,329321,18
BBB,2013B,329800,48
BBB,2013B,330376,1
BBB,2013B,331354,33
BBB,2013B,331844,38
BBB,2013B,333129,16
BBB,2013B,333837,17
BBB,2013B,334291,29
BBB,2013B,334794,11
BBB,2013B,335421,9
BBB,2013B,335600,8
BBB,2013B,335910,44
BBB,2013B,336165,12
BBB,2013B,338056,16
BBB,2013B,338861,12
BBB,2013B,339379,29
BBB,2013B,339526,2
BBB,2013B,339946,18
BBB,2013B,340378,3
BBB,2013B,340831,40
BBB,2013B,341040,15
BBB,2013B,341229,6
BBB,2013B,341509,22
BBB,2013B,349040,50
BBB,2013B,349424,1
BBB,2013B,350622,32
BBB,2013B,350795,6
BBB,2013B,351271,40
BBB,2013B,351290,35
BBB,2013B,351543,1
BBB,2013B,352161,8
BBB,2013B,352364,41
BBB,2013B,353093,82
BBB,2013B,353352,11
BBB,2013B,354058,41
BBB,2013B,354895,35
BBB,2013B,355369,28
BBB,2013B,355998,4
BBB,2013B,357030,15
BBB,2013B,357928,12
BBB,2013B,360188,53
BBB,2013B,360489,33
BBB,2013B,360877,57
BBB,2013B,361603,35
BBB,2013B,362760,16
BBB,2013B,362877,20
BBB,2013B,363401,10
BBB,2013B,363416,16
BBB,2013B,363660,62
BBB,2013B,365439,17
BBB,2013B,365452,42
BBB,2013B,365488,7
BBB,2013B,365707,70
BBB,2013B,367304,8
BBB,2013B,367348,13
BBB,2013B,367609,47
BBB,2013B,368439,2
BBB,2013B,370302,45
BBB,2013B,370720,8
BBB,2013B,371679,35
BBB,2013B,374102,26
BBB,2013B,374234,55
BBB,2013B,376617,29
BBB,2013B,377759,93
BBB,2013B,377846,96
BBB,2013B,377905,37
BBB,2013B,378462,14
BBB,2013B,378543,26
BBB,2013B,378721,12
BBB,2013B,379402,10
BBB,2013B,380151,2
BBB,2013B,381722,13
BBB,2013B,383828,3
BBB,2013B,384678,57
BBB,2013B,384909,9
BBB,2013B,385034,25
BBB,2013B,386348,62
BBB,2013B,387702,13
BBB,2013B,388205,26
BBB,2013B,388360,19
BBB,2013B,388410,27
BBB,2013B,388484,11
BBB,2013B,389369,51
BBB,2013B,390220,21
BBB,2013B,390442,27
BBB,2013B,390461,16
BBB,2013B,392213,32
BBB,2013B,392281,40
BBB,2013B,392428,23
BBB,2013B,392614,22
BBB,2013B,394956,10
BBB,2013B,395107,1
BBB,2013B,395229,2
BBB,2013B,397118,45
BBB,2013B,397763,8
BBB,2013B,398084,32
BBB,2013B,399792,5
BBB,2013B,400049,32
BBB,2013B,400469,45
BBB,2013B,400474,23
BBB,2013B,400894,14
BBB,2013B,401339,97
BBB,2013B,401349,49
BBB,2013B,403093,6
BBB,2013B,404022,50
BBB,2013B,404727,25
BBB,2013B,405471,47
BBB,2013B,405746,21
BBB,2013B,405995,36
BBB,2013B,406311,20
BBB,2013B,406416,9
BBB,2013B,406974,53
BBB,2013B,408112,22
BBB,2013B,409662,47
BBB,2013B,410739,32
BBB,2013B,411197,13
BBB,2013B,412407,28
BBB,2013B,412654,28
BBB,2013B,413984,29
BBB,2013B,414958,26
BBB,2013B,415716,23
BBB,2013B,415760,17
BBB,2013B,416007,43
BBB,2013B,416314,25
BBB,2013B,416654,71
BBB,2013B,417462,4
BBB,2013B,418065,8
BBB,2013B,418325,29
BBB,2013B,420604,9
BBB,2013B,421205,22
BBB,2013B,422070,9
BBB,2013B,422752,3
BBB,2013B,423314,35
BBB,2013B,423317,2
BBB,2013B,423871,99
BBB,2013B,425747,1
BBB,2013B,425808,51
BBB,2013B,425817,17
BBB,2013B,425820,46
BBB,2013B,426650,24
BBB,2013B,426838,26
BBB,2013B,427536,36
BBB,2013B,427704,16
BBB,2013B,427773,15
BBB,2013B,429038,27
BBB,2013B,429494,7
BBB,2013B,430160,2
