,code_module,code_presentation,id_student,total_days_studied
96,AAA,2013J,238007,162
97,AAA,2013J,240712,26
98,AAA,2013J,240884,44
99,AAA,2013J,241649,135
100,AAA,2013J,241729,117
101,AAA,2013J,242793,56
102,AAA,2013J,246834,68
103,AAA,2013J,248270,193
104,AAA,2013J,255548,166
105,AAA,2013J,256815,139
106,AAA,2013J,258392,53
107,AAA,2013J,258894,204
108,AAA,2013J,260355,43
109,AAA,2013J,262011,69
110,AAA,2013J,262934,119
111,AAA,2013J,268073,116
112,AAA,2013J,268733,18
113,AAA,2013J,271251,128
114,AAA,2013J,277880,78
115,AAA,2013J,279572,63
116,AAA,2013J,281022,49
117,AAA,2013J,281250,15
118,AAA,2013J,281589,8
119,AAA,2013J,282821,87
120,AAA,2013J,286488,68
121,AAA,2013J,287548,47
122,AAA,2013J,290201,108
123,AAA,2013J,290757,33
124,AAA,2013J,291334,229
125,AAA,2013J,293699,28
126,AAA,2013J,294570,119
127,AAA,2013J,294594,94
128,AAA,2013J,295741,87
129,AAA,2013J,296332,124
130,AAA,2013J,298696,58
131,AAA,2013J,300398,108
132,AAA,2013J,302302,24
133,AAA,2013J,305152,11
134,AAA,2013J,305386,85
135,AAA,2013J,305539,6
136,AAA,2013J,306107,81
137,AAA,2013J,306466,110
138,AAA,2013J,306897,189
139,AAA,2013J,307061,87
140,AAA,2013J,307866,76
141,AAA,2013J,311917,145
142,AAA,2013J,312537,271
143,AAA,2013J,312782,46
144,AAA,2013J,318933,106
145,AAA,2013J,319047,232
146,AAA,2013J,321942,239
147,AAA,2013J,324002,122
148,AAA,2013J,324084,110
149,AAA,2013J,324282,38
150,AAA,2013J,331358,45
151,AAA,2013J,332789,72
152,AAA,2013J,333059,31
153,AAA,2013J,333323,36
154,AAA,2013J,334259,27
155,AAA,2013J,334333,33
156,AAA,2013J,335764,106
157,AAA,2013J,336207,111
158,AAA,2013J,339972,33
159,AAA,2013J,341872,35
160,AAA,2013J,342007,38
161,AAA,2013J,342514,98
162,AAA,2013J,342972,72
163,AAA,2013J,343446,173
164,AAA,2013J,344282,18
165,AAA,2013J,345068,51
166,AAA,2013J,345357,134
167,AAA,2013J,346025,103
168,AAA,2013J,346843,8
169,AAA,2013J,350188,78
170,AAA,2013J,354858,7
171,AAA,2013J,357668,27
172,AAA,2013J,364177,63
173,AAA,2013J,365244,78
174,AAA,2013J,365642,148
175,AAA,2013J,366483,129
176,AAA,2013J,368194,32
177,AAA,2013J,368824,25
178,AAA,2013J,368963,52
179,AAA,2013J,376439,154
180,AAA,2013J,376581,124
181,AAA,2013J,380953,97
182,AAA,2013J,383254,91
183,AAA,2013J,386924,31
184,AAA,2013J,386952,114
185,AAA,2013J,388722,57
186,AAA,2013J,388885,50
187,AAA,2013J,390890,50
188,AAA,2013J,392756,44
189,AAA,2013J,392931,177
190,AAA,2013J,393207,50
191,AAA,2013J,396872,70
192,AAA,2013J,398552,87
193,AAA,2013J,401869,90
194,AAA,2013J,402470,83
195,AAA,2013J,404804,26
196,AAA,2013J,405088,87
197,AAA,2013J,414117,105
198,AAA,2013J,415969,49
199,AAA,2013J,420087,27
200,AAA,2013J,429958,25
201,AAA,2013J,441018,50
202,AAA,2013J,441888,43
203,AAA,2013J,442442,49
204,AAA,2013J,444677,140
205,AAA,2013J,470588,16
206,AAA,2013J,489455,131
207,AAA,2013J,494424,2
208,AAA,2013J,495284,78
209,AAA,2013J,498857,88
210,AAA,2013J,508818,61
211,AAA,2013J,512460,58
212,AAA,2013J,544103,112
213,AAA,2013J,550383,66
214,AAA,2013J,564450,32
215,AAA,2013J,568601,17
216,AAA,2013J,572652,42
217,AAA,2013J,580389,50
218,AAA,2013J,581129,19
219,AAA,2013J,588775,259
220,AAA,2013J,591774,36
221,AAA,2013J,603861,68
222,AAA,2013J,606143,34
223,AAA,2013J,704156,131
224,AAA,2013J,705379,226
225,AAA,2013J,721259,27
226,AAA,2013J,749412,187
227,AAA,2013J,760729,229
228,AAA,2013J,905042,166
229,AAA,2013J,949618,94
230,AAA,2013J,958987,102
231,AAA,2013J,968578,66
232,AAA,2013J,969076,135
233,AAA,2013J,971027,158
234,AAA,2013J,978739,176
235,AAA,2013J,1035023,150
236,AAA,2013J,1105478,125
237,AAA,2013J,1352868,36
238,AAA,2013J,1401935,24
239,AAA,2013J,1402638,75
240,AAA,2013J,1414443,43
241,AAA,2013J,1456619,22
242,AAA,2013J,1465690,165
243,AAA,2013J,1472925,47
244,AAA,2013J,1488959,155
245,AAA,2013J,1518989,133
246,AAA,2013J,1618738,19
247,AAA,2013J,1620151,44
248,AAA,2013J,1626710,215
249,AAA,2013J,1640609,227
250,AAA,2013J,1686521,29
251,AAA,2013J,1729319,124
252,AAA,2013J,1746134,75
253,AAA,2013J,1758449,75
254,AAA,2013J,1763015,3
255,AAA,2013J,1765788,224
256,AAA,2013J,1801229,86
257,AAA,2013J,1801641,41
258,AAA,2013J,1847830,238
259,AAA,2013J,1860318,228
260,AAA,2013J,1889511,99
261,AAA,2013J,1889577,63
262,AAA,2013J,1894188,120
263,AAA,2013J,1938355,147
264,AAA,2013J,1942396,47
265,AAA,2013J,1970390,219
266,AAA,2013J,1976139,60
267,AAA,2013J,2011876,81
268,AAA,2013J,2012966,39
269,AAA,2013J,2051699,94
270,AAA,2013J,2062879,145
271,AAA,2013J,2065691,34
272,AAA,2013J,2073016,62
273,AAA,2013J,2080474,78
274,AAA,2013J,2083877,65
275,AAA,2013J,2084066,87
276,AAA,2013J,2104505,53
277,AAA,2013J,2122180,170
278,AAA,2013J,2139353,82
279,AAA,2013J,2143752,83
280,AAA,2013J,2146792,188
281,AAA,2013J,2149225,8
282,AAA,2013J,2153153,110
283,AAA,2013J,2155014,56
284,AAA,2013J,2164705,11
285,AAA,2013J,2171627,73
286,AAA,2013J,2182846,164
287,AAA,2013J,2194100,95
288,AAA,2013J,2197016,72
289,AAA,2013J,2208424,69
290,AAA,2013J,2229865,168
291,AAA,2013J,2255601,82
292,AAA,2013J,2268379,118
293,AAA,2013J,2278464,33
294,AAA,2013J,2293923,24
295,AAA,2013J,2312620,44
296,AAA,2013J,2329342,36
297,AAA,2013J,2339528,28
298,AAA,2013J,2342426,107
299,AAA,2013J,2344901,30
300,AAA,2013J,2358056,123
301,AAA,2013J,2358969,22
302,AAA,2013J,2364471,257
303,AAA,2013J,2367155,93
304,AAA,2013J,2369266,70
305,AAA,2013J,2376496,83
306,AAA,2013J,2391984,44
307,AAA,2013J,2411661,23
308,AAA,2013J,2411778,42
309,AAA,2013J,2412002,202
310,AAA,2013J,2412967,166
311,AAA,2013J,2429854,34
312,AAA,2013J,2437837,101
313,AAA,2013J,2449878,39
314,AAA,2013J,2456480,21
315,AAA,2013J,2457256,94
316,AAA,2013J,2458355,229
317,AAA,2013J,2460080,177
318,AAA,2013J,2461190,53
319,AAA,2013J,2469673,33
320,AAA,2013J,2470694,110
321,AAA,2013J,2479954,43
322,AAA,2013J,2481901,97
323,AAA,2013J,2482700,111
324,AAA,2013J,2486127,99
325,AAA,2013J,2498700,150
326,AAA,2013J,2516503,198
327,AAA,2013J,2518069,97
328,AAA,2013J,2521459,75
329,AAA,2013J,2523736,76
330,AAA,2013J,2529279,64
331,AAA,2013J,2532302,62
332,AAA,2013J,2536991,95
333,AAA,2013J,2542724,9
334,AAA,2013J,2550279,166
335,AAA,2013J,2551220,135
336,AAA,2013J,2552472,13
337,AAA,2013J,2555340,171
338,AAA,2013J,2557283,248
339,AAA,2013J,2559575,51
340,AAA,2013J,2562034,17
341,AAA,2013J,2566163,83
342,AAA,2013J,2566592,82
343,AAA,2013J,2569324,3
344,AAA,2013J,2574528,81
345,AAA,2013J,2574583,129
346,AAA,2013J,2576122,14
347,AAA,2013J,2578995,135
348,AAA,2013J,2586560,121
349,AAA,2013J,2594139,56
350,AAA,2013J,2598871,123
351,AAA,2013J,2599352,76
352,AAA,2013J,2600688,31
353,AAA,2013J,2606098,48
354,AAA,2013J,2613116,60
355,AAA,2013J,2617002,86
356,AAA,2013J,2620584,5
357,AAA,2013J,2639449,46
358,AAA,2013J,2639540,132
359,AAA,2013J,2639641,151
360,AAA,2013J,2641155,216
361,AAA,2013J,2643002,107
362,AAA,2013J,2645733,125
363,AAA,2013J,2649826,211
364,AAA,2013J,2650282,56
365,AAA,2013J,2664024,72
366,AAA,2013J,2666246,46
367,AAA,2013J,2669816,30
368,AAA,2013J,2671132,121
369,AAA,2013J,2676809,26
370,AAA,2013J,2678643,105
371,AAA,2013J,2685865,202
372,AAA,2013J,2688067,12
373,AAA,2013J,2689958,257
374,AAA,2013J,2691206,193
375,AAA,2013J,2691244,76
376,AAA,2013J,2694424,206
377,AAA,2013J,2698257,69
378,AAA,2014J,6516,159
379,AAA,2014J,24734,56
380,AAA,2014J,26192,118
381,AAA,2014J,28061,148
382,AAA,2014J,31600,19
383,AAA,2014J,46844,46
384,AAA,2014J,52765,190
385,AAA,2014J,55104,75
386,AAA,2014J,58071,149
387,AAA,2014J,58316,102
388,AAA,2014J,62487,54
389,AAA,2014J,63165,87
390,AAA,2014J,65002,2
391,AAA,2014J,70011,227
392,AAA,2014J,75255,79
393,AAA,2014J,79403,76
394,AAA,2014J,85092,32
395,AAA,2014J,85144,75
396,AAA,2014J,85302,127
397,AAA,2014J,87431,29
398,AAA,2014J,94961,78
399,AAA,2014J,95755,43
400,AAA,2014J,101116,126
401,AAA,2014J,107489,184
402,AAA,2014J,108872,83
403,AAA,2014J,109155,135
404,AAA,2014J,111512,21
405,AAA,2014J,117818,98
406,AAA,2014J,119902,81
407,AAA,2014J,121349,98
408,AAA,2014J,124064,162
409,AAA,2014J,125018,121
410,AAA,2014J,129955,77
411,AAA,2014J,130034,103
412,AAA,2014J,130547,82
413,AAA,2014J,130636,20
414,AAA,2014J,131390,9
415,AAA,2014J,133816,128
416,AAA,2014J,133922,58
417,AAA,2014J,135335,5
418,AAA,2014J,135400,22
419,AAA,2014J,135471,127
420,AAA,2014J,139033,60
421,AAA,2014J,141377,34
422,AAA,2014J,141506,26
423,AAA,2014J,146503,65
424,AAA,2014J,147756,80
425,AAA,2014J,148993,145
426,AAA,2014J,149741,102
427,AAA,2014J,149962,17
428,AAA,2014J,151587,27
429,AAA,2014J,152668,34
430,AAA,2014J,155984,105
431,AAA,2014J,158707,98
432,AAA,2014J,159954,71
433,AAA,2014J,164944,121
434,AAA,2014J,165226,30
435,AAA,2014J,167961,124
436,AAA,2014J,174024,38
437,AAA,2014J,174094,222
438,AAA,2014J,174745,46
439,AAA,2014J,175447,166
440,AAA,2014J,175772,72
441,AAA,2014J,183057,66
442,AAA,2014J,185350,30
443,AAA,2014J,188278,162
444,AAA,2014J,199636,90
445,AAA,2014J,199897,134
446,AAA,2014J,200804,60
447,AAA,2014J,205494,59
448,AAA,2014J,228021,194
449,AAA,2014J,228383,91
450,AAA,2014J,232307,37
451,AAA,2014J,235068,148
452,AAA,2014J,235507,128
453,AAA,2014J,236875,40
454,AAA,2014J,237274,164
455,AAA,2014J,243510,39
456,AAA,2014J,244246,99
457,AAA,2014J,248581,135
458,AAA,2014J,252073,73
459,AAA,2014J,254625,114
460,AAA,2014J,258587,205
461,AAA,2014J,260623,86
462,AAA,2014J,263251,102
463,AAA,2014J,263543,155
464,AAA,2014J,263952,95
465,AAA,2014J,266524,38
466,AAA,2014J,268733,1
467,AAA,2014J,273346,143
468,AAA,2014J,274947,26
469,AAA,2014J,275674,117
470,AAA,2014J,275792,60
471,AAA,2014J,277123,37
472,AAA,2014J,277880,5
473,AAA,2014J,281077,74
474,AAA,2014J,281636,143
475,AAA,2014J,285315,57
476,AAA,2014J,287040,113
477,AAA,2014J,287204,81
478,AAA,2014J,287210,212
479,AAA,2014J,288994,4
480,AAA,2014J,289449,107
481,AAA,2014J,290164,166
482,AAA,2014J,292525,26
483,AAA,2014J,292775,109
484,AAA,2014J,293824,261
485,AAA,2014J,294496,147
486,AAA,2014J,294655,132
487,AAA,2014J,295060,126
488,AAA,2014J,295075,53
489,AAA,2014J,296424,141
490,AAA,2014J,298034,97
491,AAA,2014J,298838,118
492,AAA,2014J,301967,32
493,AAA,2014J,302476,133
494,AAA,2014J,303521,181
495,AAA,2014J,303985,24
496,AAA,2014J,304465,194
497,AAA,2014J,306646,19
498,AAA,2014J,309142,46
499,AAA,2014J,310412,110
500,AAA,2014J,311235,53
501,AAA,2014J,311659,7
502,AAA,2014J,313937,243
503,AAA,2014J,315076,109
504,AAA,2014J,315744,163
505,AAA,2014J,323370,112
506,AAA,2014J,328024,125
507,AAA,2014J,329659,29
508,AAA,2014J,330594,120
509,AAA,2014J,331358,165
510,AAA,2014J,332884,145
511,AAA,2014J,334441,51
512,AAA,2014J,335247,57
513,AAA,2014J,335764,114
514,AAA,2014J,337748,6
515,AAA,2014J,338407,27
516,AAA,2014J,341876,72
517,AAA,2014J,342007,146
518,AAA,2014J,345440,21
519,AAA,2014J,345519,89
520,AAA,2014J,346118,46
521,AAA,2014J,348275,38
522,AAA,2014J,348807,35
523,AAA,2014J,350156,48
524,AAA,2014J,350939,103
525,AAA,2014J,351336,116
526,AAA,2014J,353665,44
527,AAA,2014J,354170,82
528,AAA,2014J,356170,42
529,AAA,2014J,358182,126
530,AAA,2014J,364957,111
531,AAA,2014J,369834,117
532,AAA,2014J,371710,125
533,AAA,2014J,373872,71
534,AAA,2014J,375260,157
535,AAA,2014J,375646,53
536,AAA,2014J,377546,144
537,AAA,2014J,381642,109
538,AAA,2014J,382095,157
539,AAA,2014J,383180,45
540,AAA,2014J,383600,35
541,AAA,2014J,383723,237
542,AAA,2014J,384203,213
543,AAA,2014J,384725,151
544,AAA,2014J,387533,49
545,AAA,2014J,387954,14
546,AAA,2014J,388147,29
547,AAA,2014J,390890,51
548,AAA,2014J,391249,148
549,AAA,2014J,396599,57
550,AAA,2014J,396655,56
551,AAA,2014J,398171,132
552,AAA,2014J,398349,144
553,AAA,2014J,400147,33
554,AAA,2014J,400682,67
555,AAA,2014J,401404,118
556,AAA,2014J,402204,68
557,AAA,2014J,402727,51
558,AAA,2014J,402961,147
559,AAA,2014J,404356,99
560,AAA,2014J,406671,30
561,AAA,2014J,406682,144
562,AAA,2014J,409100,143
563,AAA,2014J,409703,145
564,AAA,2014J,410092,25
565,AAA,2014J,411971,74
566,AAA,2014J,415969,8
567,AAA,2014J,418731,18
568,AAA,2014J,421455,113
569,AAA,2014J,424577,109
570,AAA,2014J,429858,26
571,AAA,2014J,431025,22
572,AAA,2014J,439305,46
573,AAA,2014J,440319,46
574,AAA,2014J,442064,34
575,AAA,2014J,442132,22
576,AAA,2014J,446108,77
577,AAA,2014J,447481,33
578,AAA,2014J,468120,16
579,AAA,2014J,468694,35
580,AAA,2014J,470588,18
581,AAA,2014J,470982,75
582,AAA,2014J,476603,79
583,AAA,2014J,481022,13
584,AAA,2014J,483800,91
585,AAA,2014J,484897,67
586,AAA,2014J,485962,94
587,AAA,2014J,488990,51
588,AAA,2014J,500113,27
589,AAA,2014J,503889,182
590,AAA,2014J,514526,3
591,AAA,2014J,518808,68
592,AAA,2014J,522482,16
593,AAA,2014J,527100,64
594,AAA,2014J,527801,61
595,AAA,2014J,533068,35
596,AAA,2014J,537081,66
597,AAA,2014J,544253,178
598,AAA,2014J,548120,81
599,AAA,2014J,561467,19
600,AAA,2014J,569505,167
601,AAA,2014J,570317,59
602,AAA,2014J,574505,63
603,AAA,2014J,588477,217
604,AAA,2014J,593846,47
605,AAA,2014J,593987,81
606,AAA,2014J,596288,25
607,AAA,2014J,598070,1
608,AAA,2014J,603834,29
609,AAA,2014J,603861,24
610,AAA,2014J,608440,6
611,AAA,2014J,623840,88
612,AAA,2014J,626240,76
613,AAA,2014J,628088,22
614,AAA,2014J,628312,2
615,AAA,2014J,630142,30
616,AAA,2014J,637665,151
617,AAA,2014J,639053,33
618,AAA,2014J,642878,29
619,AAA,2014J,648130,52
620,AAA,2014J,676546,27
621,AAA,2014J,677186,43
622,AAA,2014J,677281,17
623,AAA,2014J,684180,13
624,AAA,2014J,687698,24
625,AAA,2014J,696073,104
626,AAA,2014J,696578,40
627,AAA,2014J,721259,76
628,AAA,2014J,852847,30
629,AAA,2014J,998493,262
630,AAA,2014J,1045203,168
631,AAA,2014J,1112555,146
632,AAA,2014J,1183831,105
633,AAA,2014J,1268696,27
634,AAA,2014J,1336190,50
635,AAA,2014J,1352868,107
636,AAA,2014J,1398979,194
637,AAA,2014J,1456619,34
638,AAA,2014J,1471214,33
639,AAA,2014J,1472925,34
640,AAA,2014J,1484804,174
641,AAA,2014J,1511033,36
642,AAA,2014J,1576513,286
643,AAA,2014J,1609002,103
644,AAA,2014J,1629771,56
645,AAA,2014J,1676594,7
646,AAA,2014J,1686551,53
647,AAA,2014J,1689639,83
648,AAA,2014J,1715896,199
649,AAA,2014J,1721270,55
650,AAA,2014J,1757766,156
651,AAA,2014J,1773377,62
652,AAA,2014J,1799111,109
653,AAA,2014J,1818673,27
654,AAA,2014J,1839386,15
655,AAA,2014J,1926668,78
656,AAA,2014J,1947156,105
657,AAA,2014J,1967783,91
658,AAA,2014J,1970390,148
659,AAA,2014J,1975209,157
660,AAA,2014J,2010232,148
661,AAA,2014J,2045084,18
662,AAA,2014J,2057803,147
663,AAA,2014J,2073016,16
664,AAA,2014J,2085209,251
665,AAA,2014J,2086400,234
666,AAA,2014J,2139353,67
667,AAA,2014J,2148681,109
668,AAA,2014J,2158048,22
669,AAA,2014J,2158196,21
670,AAA,2014J,2165164,116
671,AAA,2014J,2168833,3
672,AAA,2014J,2207874,17
673,AAA,2014J,2240349,135
674,AAA,2014J,2244332,276
675,AAA,2014J,2273119,6
676,AAA,2014J,2277857,159
677,AAA,2014J,2297896,43
678,AAA,2014J,2313257,2
679,AAA,2014J,2318055,82
680,AAA,2014J,2330254,158
681,AAA,2014J,2355470,35
682,AAA,2014J,2358969,110
683,AAA,2014J,2363863,199
684,AAA,2014J,2369415,67
685,AAA,2014J,2375975,166
686,AAA,2014J,2397661,45
687,AAA,2014J,2398313,161
688,AAA,2014J,2404408,53
689,AAA,2014J,2425993,36
690,AAA,2014J,2429854,21
691,AAA,2014J,2432796,50
692,AAA,2014J,2434159,33
693,AAA,2014J,2436812,39
694,AAA,2014J,2467267,21
695,AAA,2014J,2470694,67
696,AAA,2014J,2473538,51
697,AAA,2014J,2474849,5
698,AAA,2014J,2494700,187
699,AAA,2014J,2500258,132
700,AAA,2014J,2507842,35
701,AAA,2014J,2509639,75
702,AAA,2014J,2514368,34
703,AAA,2014J,2514898,91
704,AAA,2014J,2521865,131
705,AAA,2014J,2522927,185
706,AAA,2014J,2540168,56
707,AAA,2014J,2546445,63
708,AAA,2014J,2551797,46
709,AAA,2014J,2551932,63
710,AAA,2014J,2569324,50
711,AAA,2014J,2574990,114
712,AAA,2014J,2576122,3
713,AAA,2014J,2578676,117
714,AAA,2014J,2581477,232
715,AAA,2014J,2584873,99
716,AAA,2014J,2595841,57
717,AAA,2014J,2596621,237
718,AAA,2014J,2601889,157
719,AAA,2014J,2602338,64
720,AAA,2014J,2606802,37
721,AAA,2014J,2624961,37
722,AAA,2014J,2630087,7
723,AAA,2014J,2633226,43
724,AAA,2014J,2642616,131
725,AAA,2014J,2642935,205
726,AAA,2014J,2648611,145
727,AAA,2014J,2649800,83
728,AAA,2014J,2654628,70
729,AAA,2014J,2677624,56
730,AAA,2014J,2680312,162
731,AAA,2014J,2688166,55
732,AAA,2014J,2690062,12
733,AAA,2014J,2692514,277
734,AAA,2014J,2694788,21
735,BBB,2013B,23629,16
736,BBB,2013B,25107,115
737,BBB,2013B,27891,21
738,BBB,2013B,29144,123
739,BBB,2013B,31663,222
740,BBB,2013B,33666,66
741,BBB,2013B,34229,50
742,BBB,2013B,34353,32
743,BBB,2013B,34431,13
744,BBB,2013B,34756,11
745,BBB,2013B,34863,19
746,BBB,2013B,35812,3
747,BBB,2013B,39655,34
748,BBB,2013B,50993,23
749,BBB,2013B,52899,24
750,BBB,2013B,58089,6
751,BBB,2013B,62631,33
752,BBB,2013B,70608,27
753,BBB,2013B,71433,8
754,BBB,2013B,74695,122
755,BBB,2013B,74734,34
756,BBB,2013B,75399,49
757,BBB,2013B,78645,40
758,BBB,2013B,82535,45
759,BBB,2013B,82741,43
760,BBB,2013B,83254,70
761,BBB,2013B,84245,74
762,BBB,2013B,84664,35
763,BBB,2013B,86291,3
764,BBB,2013B,87732,83
765,BBB,2013B,91322,64
766,BBB,2013B,92274,26
767,BBB,2013B,92832,100
768,BBB,2013B,92947,129
769,BBB,2013B,92993,49
770,BBB,2013B,94616,29
771,BBB,2013B,96291,4
772,BBB,2013B,97154,37
773,BBB,2013B,98313,10
774,BBB,2013B,102849,1
775,BBB,2013B,104054,95
776,BBB,2013B,108377,150
777,BBB,2013B,108589,39
778,BBB,2013B,109938,49
779,BBB,2013B,110881,71
780,BBB,2013B,116603,86
781,BBB,2013B,117071,5
782,BBB,2013B,120994,34
783,BBB,2013B,123860,94
784,BBB,2013B,126322,52
785,BBB,2013B,126411,7
786,BBB,2013B,128776,8
787,BBB,2013B,133155,61
788,BBB,2013B,133748,45
789,BBB,2013B,141823,25
790,BBB,2013B,142324,11
791,BBB,2013B,143741,53
792,BBB,2013B,145544,76
793,BBB,2013B,147876,37
794,BBB,2013B,151697,30
795,BBB,2013B,152153,31
796,BBB,2013B,152910,133
797,BBB,2013B,152929,25
798,BBB,2013B,153212,83
799,BBB,2013B,153704,35
800,BBB,2013B,154027,63
801,BBB,2013B,154125,7
802,BBB,2013B,154540,45
803,BBB,2013B,155735,5
804,BBB,2013B,156835,111
805,BBB,2013B,161678,15
806,BBB,2013B,165243,87
807,BBB,2013B,169515,14
808,BBB,2013B,170356,26
809,BBB,2013B,173316,74
810,BBB,2013B,173335,49
811,BBB,2013B,177639,5
812,BBB,2013B,179605,10
813,BBB,2013B,182824,20
814,BBB,2013B,183806,7
815,BBB,2013B,185349,177
816,BBB,2013B,186670,25
817,BBB,2013B,186780,2
818,BBB,2013B,186988,20
819,BBB,2013B,187793,150
820,BBB,2013B,188152,184
821,BBB,2013B,192424,52
822,BBB,2013B,193822,106
823,BBB,2013B,197595,61
824,BBB,2013B,198956,114
825,BBB,2013B,199520,117
826,BBB,2013B,200863,3
827,BBB,2013B,200905,84
828,BBB,2013B,203108,11
829,BBB,2013B,203481,63
830,BBB,2013B,203652,6
831,BBB,2013B,204746,49
832,BBB,2013B,226374,58
833,BBB,2013B,226827,134
834,BBB,2013B,228049,1
835,BBB,2013B,229240,42
836,BBB,2013B,229426,37
837,BBB,2013B,232695,107
838,BBB,2013B,235097,69
839,BBB,2013B,237304,29
840,BBB,2013B,237913,86
841,BBB,2013B,242149,34
842,BBB,2013B,245404,27
843,BBB,2013B,247267,39
844,BBB,2013B,248103,49
845,BBB,2013B,249534,37
846,BBB,2013B,251351,61
847,BBB,2013B,252340,22
848,BBB,2013B,253250,24
849,BBB,2013B,255347,93
850,BBB,2013B,255998,28
851,BBB,2013B,258402,1
852,BBB,2013B,262294,33
853,BBB,2013B,262454,44
854,BBB,2013B,262741,100
855,BBB,2013B,263499,212
856,BBB,2013B,265958,11
857,BBB,2013B,267761,56
858,BBB,2013B,267853,2
859,BBB,2013B,269076,39
860,BBB,2013B,270399,4
861,BBB,2013B,270567,97
862,BBB,2013B,271036,56
863,BBB,2013B,272580,66
864,BBB,2013B,273731,46
865,BBB,2013B,273877,18
866,BBB,2013B,276717,164
867,BBB,2013B,277733,59
868,BBB,2013B,278447,55
869,BBB,2013B,280962,5
870,BBB,2013B,281564,144
871,BBB,2013B,284076,45
872,BBB,2013B,285633,20
873,BBB,2013B,285912,97
874,BBB,2013B,288380,3
875,BBB,2013B,288990,4
876,BBB,2013B,290550,31
877,BBB,2013B,291037,51
878,BBB,2013B,291194,60
879,BBB,2013B,292027,17
880,BBB,2013B,294381,43
881,BBB,2013B,294961,27
882,BBB,2013B,294999,6
883,BBB,2013B,295754,72
884,BBB,2013B,297484,118
885,BBB,2013B,298322,44
886,BBB,2013B,298476,68
887,BBB,2013B,305945,2
888,BBB,2013B,306886,20
889,BBB,2013B,306984,5
890,BBB,2013B,309175,11
891,BBB,2013B,309709,60
892,BBB,2013B,309734,65
893,BBB,2013B,311042,8
894,BBB,2013B,312141,9
895,BBB,2013B,313810,94
896,BBB,2013B,315186,66
897,BBB,2013B,316841,156
898,BBB,2013B,318056,86
899,BBB,2013B,318101,21
900,BBB,2013B,319209,64
901,BBB,2013B,322960,37
902,BBB,2013B,324236,138
903,BBB,2013B,325511,38
904,BBB,2013B,325879,66
905,BBB,2013B,326012,16
906,BBB,2013B,329226,36
907,BBB,2013B,329321,21
908,BBB,2013B,329800,93
909,BBB,2013B,330376,1
910,BBB,2013B,331354,47
911,BBB,2013B,331844,80
912,BBB,2013B,333129,16
