code_module,code_presentation,id_student,gender,highest_education,age_band,num_of_prev_attempts,disability,final_result,date_registration,module_presentation_length,avg_daily_activities,total_days_studied,mean_clicks_per_day,pct_days_studied
AAA,2013J,271251,M,A Level or Equivalent,35-55,0,N,Pass,-68.0,268,5.545454545454546,55,31.2,0.6111111111111112
AAA,2013J,277880,F,A Level or Equivalent,0-35,0,N,Withdrawn,-108.0,268,6.869565217391305,46,32.130434782608695,0.5111111111111111
AAA,2013J,279572,M,Lower Than A Level,0-35,0,N,Distinction,-138.0,268,5.7727272727272725,22,23.40909090909091,0.24444444444444444
AAA,2013J,281022,F,A Level or Equivalent,0-35,0,N,Pass,-74.0,268,3.4,25,9.64,0.2777777777777778
AAA,2013J,281250,M,Lower Than A Level,35-55,0,N,Fail,-64.0,268,5.777777777777778,9,11.11111111111111,0.1
AAA,2013J,281589,M,HE Qualification,0-35,0,N,Fail,-50.0,268,3.2857142857142856,7,7.714285714285714,0.07777777777777778
AAA,2013J,282821,M,A Level or Equivalent,35-55,0,N,Pass,-107.0,268,6.0,42,29.642857142857142,0.4666666666666667
AAA,2013J,286488,M,A Level or Equivalent,35-55,0,N,Pass,-8.0,268,4.904761904761905,21,20.428571428571427,0.23333333333333334
AAA,2013J,287548,M,A Level or Equivalent,0-35,0,N,Pass,-52.0,268,3.1739130434782608,23,13.434782608695652,0.25555555555555554
AAA,2013J,290201,M,A Level or Equivalent,0-35,0,N,Pass,-96.0,268,5.636363636363637,44,21.818181818181817,0.4888888888888889
AAA,2013J,290757,M,A Level or Equivalent,0-35,0,N,Pass,-141.0,268,5.0,12,15.416666666666666,0.13333333333333333
AAA,2013J,291334,M,A Level or Equivalent,35-55,0,N,Distinction,-132.0,268,9.80722891566265,83,30.746987951807228,0.9222222222222223
AAA,2013J,293699,M,A Level or Equivalent,0-35,0,N,Pass,-27.0,268,3.2857142857142856,7,4.571428571428571,0.07777777777777778
AAA,2013J,294570,M,HE Qualification,55<=,0,N,Pass,-80.0,268,4.0227272727272725,44,20.5,0.4888888888888889
AAA,2013J,294594,M,A Level or Equivalent,0-35,0,N,Pass,-145.0,268,2.861111111111111,36,10.805555555555555,0.4
AAA,2013J,295741,M,A Level or Equivalent,35-55,0,N,Fail,-17.0,268,4.285714285714286,42,11.380952380952381,0.4666666666666667
AAA,2013J,296332,M,Post Graduate Qualification,55<=,0,N,Distinction,-115.0,268,5.0,53,22.11320754716981,0.5888888888888889
AAA,2013J,298696,F,HE Qualification,0-35,0,N,Pass,-32.0,268,3.6,30,10.7,0.3333333333333333
AAA,2013J,300398,M,A Level or Equivalent,35-55,0,N,Pass,-59.0,268,5.782608695652174,46,20.152173913043477,0.5111111111111111
AAA,2013J,302302,F,A Level or Equivalent,0-35,0,N,Fail,-83.0,268,7.125,16,22.875,0.17777777777777778
AAA,2013J,305152,M,A Level or Equivalent,0-35,0,N,Fail,-18.0,268,3.7777777777777777,9,14.11111111111111,0.1
AAA,2013J,305386,M,A Level or Equivalent,0-35,0,Y,Pass,-66.0,268,4.534883720930233,43,17.441860465116278,0.4777777777777778
AAA,2013J,306107,M,A Level or Equivalent,35-55,0,N,Pass,-107.0,268,3.945945945945946,37,13.297297297297296,0.4111111111111111
AAA,2013J,306466,M,A Level or Equivalent,35-55,0,N,Pass,-58.0,268,3.404255319148936,47,12.957446808510639,0.5222222222222223
AAA,2013J,306897,F,A Level or Equivalent,0-35,0,N,Pass,-123.0,268,7.1098901098901095,91,21.0989010989011,1.011111111111111
AAA,2013J,307061,F,HE Qualification,0-35,0,N,Pass,-31.0,268,4.833333333333333,36,12.11111111111111,0.4
AAA,2013J,307866,M,A Level or Equivalent,0-35,0,N,Pass,-107.0,268,5.972222222222222,36,23.13888888888889,0.4
AAA,2013J,311917,M,A Level or Equivalent,55<=,0,N,Pass,-121.0,268,5.75,56,20.946428571428573,0.6222222222222222
AAA,2013J,312537,M,Post Graduate Qualification,55<=,0,N,Distinction,-79.0,268,8.089108910891088,101,67.4059405940594,1.1222222222222222
AAA,2013J,312782,M,A Level or Equivalent,0-35,0,N,Pass,-59.0,268,3.0476190476190474,21,9.095238095238095,0.23333333333333334
AAA,2013J,318933,F,HE Qualification,0-35,0,N,Pass,-100.0,268,4.55,60,12.983333333333333,0.6666666666666666
AAA,2013J,319047,F,A Level or Equivalent,0-35,0,N,Pass,-47.0,268,7.767123287671233,73,24.986301369863014,0.8111111111111111
AAA,2013J,321942,M,HE Qualification,55<=,0,N,Pass,-67.0,268,10.722222222222221,90,56.53333333333333,1.0
AAA,2013J,324002,M,HE Qualification,35-55,0,N,Pass,-32.0,268,5.490566037735849,53,19.056603773584907,0.5888888888888889
AAA,2013J,324084,F,A Level or Equivalent,35-55,0,N,Pass,-165.0,268,4.285714285714286,42,18.523809523809526,0.4666666666666667
AAA,2013J,324282,M,A Level or Equivalent,0-35,0,N,Pass,-32.0,268,2.375,16,4.8125,0.17777777777777778
AAA,2013J,332789,F,A Level or Equivalent,35-55,0,N,Pass,-64.0,268,6.461538461538462,26,27.23076923076923,0.28888888888888886
AAA,2013J,333059,M,A Level or Equivalent,0-35,0,N,Pass,-103.0,268,3.272727272727273,11,6.909090909090909,0.12222222222222222
AAA,2013J,333323,M,HE Qualification,0-35,0,N,Pass,-53.0,268,6.076923076923077,13,19.846153846153847,0.14444444444444443
AAA,2013J,334259,F,A Level or Equivalent,0-35,0,N,Fail,-32.0,268,4.842105263157895,19,14.368421052631579,0.2111111111111111
AAA,2013J,335764,F,A Level or Equivalent,0-35,0,N,Withdrawn,-196.0,268,7.014705882352941,68,25.441176470588236,0.7555555555555555
AAA,2013J,336207,M,A Level or Equivalent,0-35,0,N,Pass,-110.0,268,4.191489361702128,47,16.80851063829787,0.5222222222222223
AAA,2013J,339972,M,A Level or Equivalent,0-35,0,N,Pass,-57.0,268,4.076923076923077,13,10.846153846153847,0.14444444444444443
AAA,2013J,341872,M,Lower Than A Level,0-35,0,N,Fail,48.0,268,2.1666666666666665,12,4.0,0.13333333333333333
AAA,2013J,342514,M,Lower Than A Level,55<=,0,N,Pass,-81.0,268,5.113636363636363,44,22.136363636363637,0.4888888888888889
AAA,2013J,342972,M,HE Qualification,0-35,0,N,Pass,-60.0,268,5.235294117647059,34,14.882352941176471,0.37777777777777777
AAA,2013J,343446,M,HE Qualification,35-55,0,N,Pass,-49.0,268,8.606060606060606,66,30.560606060606062,0.7333333333333333
AAA,2013J,344282,M,A Level or Equivalent,0-35,0,N,Fail,-12.0,268,2.7,10,3.8,0.1111111111111111
AAA,2013J,345068,M,A Level or Equivalent,0-35,0,Y,Pass,-37.0,268,5.166666666666667,12,15.166666666666666,0.13333333333333333
AAA,2013J,345357,M,A Level or Equivalent,0-35,0,N,Distinction,-18.0,268,5.509090909090909,55,17.87272727272727,0.6111111111111112
AAA,2013J,346025,M,A Level or Equivalent,0-35,0,N,Pass,-75.0,268,2.8863636363636362,44,6.431818181818182,0.4888888888888889
AAA,2013J,346843,F,HE Qualification,35-55,0,N,Fail,-44.0,268,5.0,8,20.5,0.08888888888888889
AAA,2013J,350188,M,HE Qualification,35-55,0,N,Pass,-49.0,268,4.580645161290323,31,10.419354838709678,0.34444444444444444
AAA,2013J,357668,M,A Level or Equivalent,0-35,0,N,Fail,-38.0,268,2.875,16,5.5625,0.17777777777777778
AAA,2013J,364177,M,Lower Than A Level,35-55,0,N,Fail,-129.0,268,3.5483870967741935,31,12.193548387096774,0.34444444444444444
AAA,2013J,365244,F,A Level or Equivalent,0-35,0,N,Pass,-38.0,268,5.787878787878788,33,15.333333333333334,0.36666666666666664
AAA,2013J,365642,M,Lower Than A Level,35-55,0,N,Pass,-52.0,268,5.372881355932203,59,17.440677966101696,0.6555555555555556
AAA,2013J,366483,M,HE Qualification,0-35,0,N,Pass,-4.0,268,3.5849056603773586,53,12.358490566037736,0.5888888888888889
AAA,2013J,368194,F,A Level or Equivalent,0-35,0,Y,Pass,-123.0,268,5.230769230769231,13,15.461538461538462,0.14444444444444443
AAA,2013J,368824,M,HE Qualification,35-55,0,N,Fail,-60.0,268,4.857142857142857,7,15.428571428571429,0.07777777777777778
AAA,2013J,368963,M,Lower Than A Level,0-35,0,N,Pass,-19.0,268,4.741935483870968,31,16.0,0.34444444444444444
AAA,2013J,376439,M,HE Qualification,0-35,0,N,Distinction,-87.0,268,5.573770491803279,61,19.19672131147541,0.6777777777777778
AAA,2013J,376581,F,A Level or Equivalent,35-55,0,N,Pass,-64.0,268,5.71875,32,26.125,0.35555555555555557
AAA,2013J,380953,M,A Level or Equivalent,0-35,0,N,Pass,-155.0,268,3.4651162790697674,43,12.627906976744185,0.4777777777777778
AAA,2013J,383254,M,A Level or Equivalent,0-35,0,N,Pass,-61.0,268,3.239130434782609,46,6.086956521739131,0.5111111111111111
AAA,2013J,386924,M,Lower Than A Level,0-35,0,N,Pass,-192.0,268,2.5294117647058822,17,4.0588235294117645,0.18888888888888888
AAA,2013J,386952,M,A Level or Equivalent,0-35,0,N,Pass,-38.0,268,3.893617021276596,47,11.702127659574469,0.5222222222222223
AAA,2013J,388722,F,Lower Than A Level,35-55,0,N,Pass,-179.0,268,4.321428571428571,28,13.821428571428571,0.3111111111111111
AAA,2013J,388885,M,A Level or Equivalent,35-55,0,N,Pass,-185.0,268,4.115384615384615,26,15.423076923076923,0.28888888888888886
AAA,2013J,390890,M,A Level or Equivalent,0-35,0,N,Withdrawn,-31.0,268,4.78125,32,13.09375,0.35555555555555557
AAA,2013J,392756,M,A Level or Equivalent,0-35,0,N,Fail,-58.0,268,4.3,20,10.4,0.2222222222222222
AAA,2013J,392931,F,A Level or Equivalent,35-55,0,N,Pass,-54.0,268,5.590909090909091,44,18.022727272727273,0.4888888888888889
AAA,2013J,393207,M,A Level or Equivalent,0-35,0,N,Pass,-38.0,268,4.8,20,18.0,0.2222222222222222
AAA,2013J,396872,M,HE Qualification,0-35,0,N,Pass,-23.0,268,5.318181818181818,22,20.227272727272727,0.24444444444444444
AAA,2013J,398552,M,Lower Than A Level,0-35,0,N,Fail,-57.0,268,4.657894736842105,38,16.473684210526315,0.4222222222222222
AAA,2013J,401869,F,Lower Than A Level,0-35,0,N,Pass,-53.0,268,4.767441860465116,43,14.930232558139535,0.4777777777777778
AAA,2013J,402470,M,Lower Than A Level,35-55,0,N,Pass,-130.0,268,4.56,50,21.06,0.5555555555555556
AAA,2013J,404804,M,Lower Than A Level,35-55,0,N,Pass,-129.0,268,6.555555555555555,18,24.27777777777778,0.2
AAA,2013J,405088,M,A Level or Equivalent,0-35,0,N,Pass,-67.0,268,4.888888888888889,36,14.333333333333334,0.4
AAA,2013J,414117,M,A Level or Equivalent,0-35,0,N,Pass,-73.0,268,2.933333333333333,45,7.5777777777777775,0.5
AAA,2013J,415969,M,HE Qualification,35-55,0,N,Withdrawn,-60.0,268,6.75,36,32.19444444444444,0.4
AAA,2013J,420087,M,A Level or Equivalent,0-35,0,Y,Fail,-15.0,268,7.416666666666667,12,20.083333333333332,0.13333333333333333
AAA,2013J,429958,F,A Level or Equivalent,0-35,0,N,Pass,-58.0,268,4.9,10,12.3,0.1111111111111111
AAA,2013J,441018,F,A Level or Equivalent,0-35,0,N,Pass,-52.0,268,5.05,20,13.75,0.2222222222222222
AAA,2013J,441888,M,A Level or Equivalent,0-35,0,N,Pass,-53.0,268,6.615384615384615,13,17.0,0.14444444444444443
AAA,2013J,442442,M,HE Qualification,0-35,0,N,Withdrawn,-32.0,268,6.368421052631579,38,23.63157894736842,0.4222222222222222
AAA,2013J,444677,M,HE Qualification,0-35,0,N,Distinction,-38.0,268,3.8,60,10.316666666666666,0.6666666666666666
AAA,2013J,489455,F,A Level or Equivalent,0-35,0,N,Pass,-120.0,268,5.931818181818182,44,27.022727272727273,0.4888888888888889
AAA,2013J,494424,F,A Level or Equivalent,0-35,0,N,Fail,-38.0,268,10.5,2,29.0,0.022222222222222223
AAA,2013J,495284,M,HE Qualification,0-35,0,N,Pass,-29.0,268,3.3513513513513513,37,15.486486486486486,0.4111111111111111
AAA,2013J,498857,M,HE Qualification,35-55,0,N,Pass,-16.0,268,3.6792452830188678,53,10.471698113207546,0.5888888888888889
AAA,2013J,508818,M,A Level or Equivalent,0-35,0,N,Pass,-156.0,268,5.6,30,24.433333333333334,0.3333333333333333
AAA,2013J,512460,M,HE Qualification,0-35,0,N,Pass,-32.0,268,3.7714285714285714,35,8.542857142857143,0.3888888888888889
AAA,2013J,544103,M,HE Qualification,0-35,0,N,Pass,-127.0,268,5.721311475409836,61,22.950819672131146,0.6777777777777778
AAA,2013J,550383,M,HE Qualification,0-35,0,N,Pass,-51.0,268,4.305555555555555,36,18.166666666666668,0.4
AAA,2013J,564450,M,HE Qualification,0-35,0,N,Fail,-43.0,268,4.8,5,18.2,0.05555555555555555
AAA,2013J,568601,F,HE Qualification,0-35,0,N,Withdrawn,-30.0,268,5.5,12,30.916666666666668,0.13333333333333333
AAA,2013J,572652,M,HE Qualification,0-35,0,N,Pass,-158.0,268,3.2,20,13.65,0.2222222222222222
AAA,2013J,580389,M,HE Qualification,0-35,0,N,Pass,-22.0,268,6.5,26,32.38461538461539,0.28888888888888886
AAA,2013J,581129,M,A Level or Equivalent,0-35,0,N,Fail,-38.0,268,4.428571428571429,7,15.0,0.07777777777777778
AAA,2013J,588775,M,A Level or Equivalent,0-35,0,N,Pass,-17.0,268,6.662921348314606,89,29.865168539325843,0.9888888888888889
AAA,2013J,591774,M,Post Graduate Qualification,35-55,0,N,Pass,-46.0,268,5.75,20,18.6,0.2222222222222222
